date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:31	12198/12198	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496e79-2fa6%22	https://redballoonsecurity.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min.js?ver=4.0.2	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/elementor/assets/lib/waypoints/waypoints.min05da.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:31	20715/20715	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496ed1-50eb%22	https://redballoonsecurity.com/wp-includes/js/jquery/ui/core.min.js?ver=1.13.1	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-includes/js/jquery/ui/core.min0028.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:31	40511/40511	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496e79-9e3f%22	https://redballoonsecurity.com/wp-content/plugins/elementor/assets/js/frontend.min.js?ver=3.9.0-dev2	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/elementor/assets/js/frontend.min47b7.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:32	24796/24796	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496e7a-60dc%22	https://redballoonsecurity.com/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min.js?ver=3.9.0-dev2	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/elementor-pro/assets/js/elements-handlers.min47b7.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:32	810/810	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496e79-32a%22	https://redballoonsecurity.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circle.js?ver=2.7.2	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/animate-circleeed8.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:33	17948/17948	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496e79-461c%22	https://redballoonsecurity.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementor.js?ver=2.7.2	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/elementskit-lite/widgets/init/assets/js/elementoreed8.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:33	139153/139153	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496e79-21f91%22	https://redballoonsecurity.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.min.js?ver=2.7.2	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/elementor/assets/lib/swiper/swiper.mineed8.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:34	3704/3704	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263496e7a-e78%22	https://redballoonsecurity.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min.js?ver=3.9.0-dev2	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/elementor-pro/assets/lib/sticky/jquery.sticky.min47b7.js	(from https://redballoonsecurity.com/company/careers/index.html)
13:07:34	4178/4178	---M--	200	added ('OK')	image/gif	etag:%2263496e79-1052%22	https://redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/lib/loader.gif	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/lib/loader.gif	(from https://redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/lib/sliders.min.css?ver=7.2.3)
13:07:35	34116/34116	---M--	200	added ('OK')	application/octet-stream	etag:%2263496e79-8544%22	https://redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/fonts/lae-icomoon.ttf?7f8669	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/fonts/lae-icomoon1a12.ttf	(from https://redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/icomoon.css?ver=7.2.3)
13:07:35	34192/34192	---MCZ	200	added ('OK')	application/font-woff	etag:W/%2263496e79-8590%22	https://redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/fonts/lae-icomoon.woff?7f8669	C:/Users/timot/Downloads/Red%20balloon/Red%20balloon/redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/fonts/lae-icomoon1a12.woff	(from https://redballoonsecurity.com/wp-content/plugins/addons-for-elementor-premium/assets/css/icomoon.css?ver=7.2.3)
